display  D   display_settings.c:191  debug_display_settings           [   0.09673] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09683] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09687] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09690] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09693] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09697] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.09700] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09704] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.09707] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09711] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09713] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09718] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09721] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09725] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09727] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09731] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09734] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09738] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09740] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09744] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09747] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09750] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09753] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09757] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09760] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09763] Single Buffer requirement not met.
